burnIn   <= 5700300,   maxState  = 57003000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
samplingProportionSVEpi.i1_Italy	9.974E-3	9.0231E-4	0.0102	8.1538E-3	0.011	10961.0984	0.0102	0.011	
samplingProportionSVEpi.i1_OtherEuropean	0.0102	1.4798E-3	0.0106	7.2426E-3	0.012	9467.4135	0.0106	0.012	
samplingProportionSVEpi.i1_Spain	0.0352	7.6559E-3	0.0365	0.0208	0.046	1555.3827	0.0365	0.046	
samplingProportionSVEpi.i2_France	0.056	0.0177	0.0551	0.027	0.0912	1150.0723	0.0383	0.0649	
samplingProportionSVEpi.i2_Germany	0.0444	3.2811E-3	0.0454	0.0378	0.048	10647.3973	0.0454	0.048	
samplingProportionSVEpi.i2_Hubei	0	0	0	0	0	1000	0	0	
samplingProportionSVEpi.i2_Italy	9.974E-3	9.0231E-4	0.0102	8.1538E-3	0.011	10961.0984	0.0102	0.011	
samplingProportionSVEpi.i2_OtherEuropean	0.0102	1.4798E-3	0.0106	7.2426E-3	0.012	9467.4135	0.0106	0.012	
samplingProportionSVEpi.i2_Spain	0.0352	7.6559E-3	0.0365	0.0208	0.046	1555.3827	0.0365	0.046	
removalProbSVEpi	1	0	0	0	0	1000	0	0	

