item                                          mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
migrationRateSMEpi.OtherEuropean_to_Italy     1.561906 0.092165 1.916007 0.958362 0.025818 4.668849 20826.92 432.1808 0.968987
samplingProportionSVEpi.i0_endtime            0.109322 0.000754 0.042083 0.103265 0.038081 0.191812 2885.842 3119.019 0.101621
samplingProportionSVEpi.i0_France             0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Germany            0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Hubei              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Italy              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_OtherEuropean      0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i1_endtime            0.194322 0.000754 0.042083 0.188265 0.123081 0.276812 2885.842 3119.019 0.190077
samplingProportionSVEpi.i1_France             0.06029  0.000859 0.018451 0.060783 0.029144 0.092956 19498.98 461.6136 0.057031
samplingProportionSVEpi.i1_Germany            0.067324 0.000599 0.020529 0.068972 0.031396 0.099976 7660.343 1175.012 0.063553
samplingProportionSVEpi.i1_Hubei              0.100756 0.000761 0.028893 0.101867 0.051661 0.149975 6241.090 1442.216 0.096015
samplingProportionSVEpi.i1_Italy              0.004067 1.1E-5   0.000726 0.004229 0.002663 0.005    2049.187 4392.473 0.003991
samplingProportionSVEpi.i1_OtherEuropean      0.042556 0.0002   0.010127 0.044302 0.023645 0.056999 3496.637 2574.187 0.04111 
samplingProportionSVEpi.i2_France             0.06029  0.000859 0.018451 0.060783 0.029144 0.092956 19498.98 461.6136 0.057031
samplingProportionSVEpi.i2_Germany            0.067324 0.000599 0.020529 0.068972 0.031396 0.099976 7660.343 1175.012 0.063553
samplingProportionSVEpi.i2_Hubei              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i2_Italy              0.004067 1.1E-5   0.000726 0.004229 0.002663 0.005    2049.187 4392.473 0.003991
samplingProportionSVEpi.i2_OtherEuropean      0.042556 0.0002   0.010127 0.044302 0.023645 0.056999 3496.637 2574.187 0.04111 
removalProbSVEpi                              1        0        0        1        1        1        NaN      NaN      1       
