burnIn   <= 4500500,   maxState  = 45005000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
samplingProportionSVi1_OtherEuropean	0.0237	2.114E-3	0.0243	0.0195	0.026	3809.1804	0.0243	0.026	
samplingProportionSVi1_Spain	0.0325	9.2861E-3	0.0317	0.0158	0.0509	2264.5002	0.0234	0.0365	
samplingProportionSVi2_France	0.0298	0.0113	0.0279	0.011	0.0525	1474.8012	0.0185	0.0318	
samplingProportionSVi2_Germany	0.0495	8.1114E-3	0.0513	0.0336	0.06	2589.228	0.0513	0.06	
samplingProportionSVi2_Hubei-China	0	0	0	0	0	1000	0	0	
samplingProportionSVi2_Italy	9.5513E-3	1.2343E-3	9.8747E-3	7.074E-3	0.011	1725.3724	9.8747E-3	0.011	
samplingProportionSVi2_OtherEuropean	0.0237	2.114E-3	0.0243	0.0195	0.026	3809.1804	0.0243	0.026	
samplingProportionSVi2_Spain	0.0325	9.2861E-3	0.0317	0.0158	0.0509	2264.5002	0.0234	0.0365	
removalProbSV	1	0	0	0	0	1000	0	0	
scaleParamGLM	1.3476	0.1783	1.3439	1.0034	1.7018	864.9308	1.2148	1.4515	

