Country	Cases ECDC	Median Cases (95% CCI)	Median Reporting Rate (95% CCI)
France	613	191808 (7452-5009142)	0 (0-0.08)
Germany	684	117382 (9619-2684805)	0.01 (0-0.07)
Hubei-China	80768	9600 (1439-211210)	8.41 (0.38-56.13)
Italy	4636	101104 (18929-2079388)	0.05 (0-0.24)
Other European	1561	326868 (15407-17594865)	0 (0-0.1)
Spain	764	185652 (13511-7209289)	0 (0-0.06)
