Country	Cases ECDC	Median Cases (95% CCI)	Median Reporting Rate (95% CCI)
France	613	286104 (27098-12979809)	0 (0-0.02)
Germany	684	73934 (12285-1148044)	0.01 (0-0.06)
Hubei-China	80768	6496 (2455-66461)	12.43 (1.22-32.9)
Italy	4636	96132 (30817-1465584)	0.05 (0-0.15)
Other European	1502	156760 (14737-3267856)	0.01 (0-0.1)
Spain	764	268402 (30955-9053112)	0 (0-0.02)
