item                                          mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
migrationRateSMEpi.OtherEuropean_to_Italy     1.765624 0.085283 2.540375 1.047966 0.031846 5.438928 27389.49 887.3108 1.053564
samplingProportionSVEpi.i0_endtime            0.097097 0.000398 0.045143 0.090878 0.019412 0.187004 1888.346 12869.99 NaN     
samplingProportionSVEpi.i0_France             0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Germany            0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Hubei              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Italy              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_OtherEuropean      0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i1_endtime            0.182097 0.000398 0.045143 0.175878 0.104412 0.272004 1888.346 12869.99 0.17683 
samplingProportionSVEpi.i1_France             0.052038 0.000321 0.023167 0.051888 0.01477  0.092969 4673.078 5200.639 0.045458
samplingProportionSVEpi.i1_Germany            0.048852 0.000389 0.026313 0.046617 0.008297 0.097911 5304.422 4581.648 0.03993 
samplingProportionSVEpi.i1_Hubei              0.089624 0.000389 0.033454 0.089557 0.034585 0.149825 3291.869 7382.735 0.082205
samplingProportionSVEpi.i1_Italy              0.002694 1.72E-5  0.001251 0.002651 0.000714 0.00497  4567.648 5320.681 0.002332
samplingProportionSVEpi.i1_OtherEuropean      0.03015  0.000228 0.015006 0.030038 0.006452 0.056996 5631.802 4315.314 0.025103
samplingProportionSVEpi.i2_France             0.052038 0.000321 0.023167 0.051888 0.01477  0.092969 4673.078 5200.639 0.045458
samplingProportionSVEpi.i2_Germany            0.048852 0.000389 0.026313 0.046617 0.008297 0.097911 5304.422 4581.648 0.03993 
samplingProportionSVEpi.i2_Hubei              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i2_Italy              0.002694 1.72E-5  0.001251 0.002651 0.000714 0.00497  4567.648 5320.681 0.002332
samplingProportionSVEpi.i2_OtherEuropean      0.03015  0.000228 0.015006 0.030038 0.006452 0.056996 5631.802 4315.314 0.025103
removalProbSVEpi                              1        0        0        1        1        1        NaN      NaN      1       
